"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2" 
"o:polos.1008"," Aloisia Seušek, Lehen na Pohorju "," Gostilna in tergovina ALOISIA SEUŠEK na Lehneh. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1912"," "," 240; 313; 493 ","  "," 2 "," polos_1008_v.jpg "," polos_1008_r.jpg " 
"o:polos.1009"," Karl Bastiantschitz, Slovenj Gradec "," St. Leonhard - Št. Lenart. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1913"," "," 361; 133 ","  "," 2 "," polos_1009_v.jpg "," polos_1009_r.jpg " 
"o:polos.101"," Franc Guček, Kozje "," Lesično (Fuchsdorf). "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1914","1916"," 133; 361; 347; 472; 265; 551 ","  "," 2 "," polos_0101_v.jpg "," polos_0101_r.jpg " 
"o:polos.1010","  "," Pozdrav iz Sv. Lenarta (v. slov. Goricah). "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1903"," "," 361; 133 ","  "," 2 "," polos_1010_v.jpg "," polos_1010_r.jpg " 
"o:polos.1011","  "," Pozdrav od Sv. Lenarta v Slov. Gor. HAUPTPLATZ. SCHULE. TOTALANSICHT. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1900"," "," 346; 361; 363 ","  "," 2 "," polos_1011_v.jpg "," polos_1011_r.jpg " 
"o:polos.1012","  "," Pozdrav od Sv. Lenarta v slov. Goricah. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1905"," "," 361; 472; 551 ","  "," 2 "," polos_1012_v.jpg "," polos_1012_r.jpg " 
"o:polos.1013"," Albin Sussitz, Graz "," Gruss aus Liboje bei Cilli, Steiermark. Totalansicht mit dem Kamnikgebirge. Gasthaus Skoberne. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1900"," "," 472; 551; 133; 363 ","  "," 2 "," polos_1013_v.jpg "," polos_1013_r.jpg " 
"o:polos.1014"," Heinrich Krapek, Maribor "," Lembah pri Mariboru. Gostilna Robič. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1904"," "," 273; 361; 265; 551 ","  "," 2 "," polos_1014_v.jpg "," polos_1014_r.jpg " 
"o:polos.1015"," Karl Schwidernoch, Wien "," GRUSS AUS LEMBACH b/Marburg Steiermark. Kirche u. Schule. Lembach. Gasthaus zum Jägerwirth. Gastgarten z. Jägerwirth. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1898"," "," 361; 260; 273; 265; 552; 346; 517 ","  "," 2 "," polos_1015_v.jpg "," polos_1015_r.jpg " 
"o:polos.1016","  "," UNTERSTEIERMARK: Lembach bei Marburg. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1915"," "," 361; 346 ","  "," 2 "," polos_1016_v.jpg "," polos_1016_r.jpg " 
"o:polos.1017"," Mathias Schindler, Celje "," Pozdrav ANTON ŠUSTERŠEK LUBEČNO. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1918","1922"," 551; 292; 620; 363; 562; 273 ","  "," 2 "," polos_1017_v.jpg "," polos_1017_r.jpg " 
"o:polos.1018","  "," Ljubno v'savinski dolini. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1908","1914"," 361 ","  "," 2 "," polos_1018_v.jpg "," polos_1018_r.jpg " 
"o:polos.1019"," Österreichische Licht-Druckanstalt, Wien "," Gruss aus Heiligen Geist. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1907"," "," 361; 346; 137 ","  "," 2 "," polos_1019_v.jpg "," polos_1019_r.jpg " 
"o:polos.102"," Franz Jurkovič, Šmarje pri Jelšah; Mathias Supančič, Pilštanj "," Pozdrav s Pilštanja. Zvel-Ema, pilštanjska grofinja. - Podoba na starem gradu. Okamenela žena. Naravna tvorba. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1903"," "," 346; 361; 211; 175 ","  "," 2 "," polos_0102_v.jpg "," polos_0102_r.jpg " 
"o:polos.1020","  "," Gruss aus Heiligengeist bei Pöltschach. Schloss Poglet. Totale. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1906"," "," 361; 341; 175 ","  "," 2 "," polos_1020_v.jpg "," polos_1020_r.jpg " 
"o:polos.1021","  "," Loka pri Žusmu. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1917"," "," 341 ","  "," 2 "," polos_1021_v.jpg "," polos_1021_r.jpg " 
"o:polos.1022"," F. Novak, Lovrenc na Pohorju "," St. Lorenzen, am ...... ob Marburg. St. Radegund. Pfarrkirche. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1901"," "," 346; 361 ","  "," 2 "," polos_1022_v.jpg "," polos_1022_r.jpg " 
"o:polos.1023"," Rudolf Kukowitsch, Lovrenc na Pohorju "," 3097 - ST. LORENZEN OB MARBURG "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1917"," "," 133; 361 ","  "," 2 "," polos_1023_v.jpg "," polos_1023_r.jpg " 
"o:polos.1024"," Rudolf Kukowitsch, Lovrenc na Pohorju "," ST. LORENZEN ob. Marburg, Partien am Radlbach. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1916"," "," 133; 517; 240 ","  "," 2 "," polos_1024_v.jpg "," polos_1024_r.jpg " 
"o:polos.1025","  "," Sv, Lovrenc na Dravskem polju. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1904"," "," 346 ","  "," 2 "," polos_1025_v.jpg "," polos_1025_r.jpg " 
"o:polos.1026"," Albin Sussitz, Graz "," Marburg a. d. Drau. Franziskaner-Kirche. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1917"," "," 346 ","  "," 2 "," polos_1026_v.jpg "," polos_1026_r.jpg " 
"o:polos.1027"," Franz Knollmüller, Graz "," Feucht-Fröhliche Grüsse aus Marburg a. D. TEGETTHOFFSTRASSE. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1908"," "," 363; 551; 632; 273; 137; 5311 ","  "," 2 "," polos_1027_v.jpg "," polos_1027_r.jpg " 
"o:polos.1028"," Tiskarna sv. Cirila, Maribor "," Pozdrav iz Maribora. Nova frančiškanska cerkev. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1901"," "," 346 ","  "," 2 "," polos_1028_v.jpg "," polos_1028_r.jpg " 
"o:polos.1029"," Edgar Schmidt, Dresden-Budapest "," Gruss aus Marburg. Franziskaner-Kirche. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1899"," "," 346 ","  "," 2 "," polos_1029_v.jpg "," polos_1029_r.jpg " 
"o:polos.103","  "," Trg Pilštanj. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1908","1916"," 133; 361 ","  "," 2 "," polos_0103_v.jpg "," polos_0103_r.jpg " 
"o:polos.1030"," Marie Pristernik, Maribor; Carl Otto Hayd, München "," Marburg a.D. Hauptplatz mit Rathaus. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1907"," "," 186; 632; 205; 365 ","  "," 2 "," polos_1030_v.jpg "," polos_1030_r.jpg " 
"o:polos.1031"," Albin Sussitz, Graz "," Marburg a. d. Drau mit neuer Reichsbrücke.  "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1915"," "," 700; 720; 632; 499 ","  "," 2 "," polos_1031_v.jpg "," polos_1031_r.jpg " 
"o:polos.1032"," Anton Schlauer, Graz "," Marburg a. D. Stadtpark-Idyll. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1915"," "," 344; 133; 517; 632 ","  "," 2 "," polos_1032_v.jpg "," polos_1032_r.jpg " 
"o:polos.1033"," Franz Knollmüller, Graz "," Marburg a. Dr. Tegetthoffstrasse. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1908","1914"," 341; 205; 363; 551 ","  "," 2 "," polos_1033_v.jpg "," polos_1033_r.jpg " 
"o:polos.1034","  "," Gruss aus Pobersch bei MARBURG A/D. VOLKSSCHULE. ROIKO'S GASTWIRTSCHAFT. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1901"," "," 346; 872; 265; 551; 5311 ","  "," 2 "," polos_1034_v.jpg "," polos_1034_r.jpg " 
"o:polos.1035"," Franz Knollmüller, Graz "," Marburg a. d. Drau. Erzherzog Johann-Denkmal im Stadtpark. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1917"," "," 211; 186; 133; 344; 517 ","  "," 2 "," polos_1035_v.jpg "," polos_1035_r.jpg " 
"o:polos.1036"," M. Polak, Ormož "," Sv. Miklavž - St. Nikolai bei Friedau. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1918"," "," 361; 346 ","  "," 2 "," polos_1036_v.jpg "," polos_1036_r.jpg " 
"o:polos.1037","  "," Pozdrav Sv. MIKLAVŽA pri Ljutomeru. JERUSALEM. Prihod K. Sv. Miklavžu. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1903","1906"," 346; 361; 363; 240 ","  "," 2 "," polos_1037_v.jpg "," polos_1037_r.jpg " 
"o:polos.1038"," Anton Schlauer, Graz "," Gewerkschaft Missling Steierm. EINKEHRGASTHAUS ZUR POST. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1903"," "," 341; 265; 552; 344 ","  "," 2 "," polos_1038_v.jpg "," polos_1038_r.jpg " 
"o:polos.1039"," Karl Schwidernoch, Wien "," GRUSS aus MISSLING STEIERMARK. Erzherz. Johann-Grotte. Gasthof z. Post. St. Leonhard. St. Leonhard. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1898"," "," 361; 265; 491; 496; 551 ","  "," 2 "," polos_1039_v.jpg "," polos_1039_r.jpg " 
"o:polos.104"," Rudolf Oesterreicher, Wien "," GRUSS AUS ROHITSCH. Schloss Stermoll. Total-Ansicht. Ruine Obrohitsch. Marktplatz. Volks Schule. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1890","1900"," 341; 346; 361; 211; 778 ","  "," 2 "," polos_0104_v.jpg "," polos_0104_r.jpg " 
"o:polos.1040"," Karl Bastiantschitz, Slovenj Gradec "," Missling. Partie aus Huda Lukna. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1905"," "," 496; 491; 528 ","  "," 2 "," polos_1040_v.jpg "," polos_1040_r.jpg " 
"o:polos.1041"," Atelier Weiss "," Mozirje. - Prassberg. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1918"," "," 361 ","  "," 2 "," polos_1041_v.jpg "," polos_1041_r.jpg " 
"o:polos.1042","  "," Liffai an der Sann. Libija. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1903"," "," 346; 341 ","  "," 2 "," polos_1042_v.jpg "," polos_1042_r.jpg " 
"o:polos.1043"," Družba svetega Cirila in Metoda "," ŠOLA NA MUTI. ŠOLA V VELIKOVCU. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1901"," "," 346; 872; 186; 770 ","  "," 2 "," polos_1043_v.jpg "," polos_1043_r.jpg " 
"o:polos.1044"," Karl Schwidernoch, Wien "," Gruss aus Hohenmauthen, Steiermark. Hohenmauthen m. Gewerkschaft. Hohenmauthen i/Drauthal. Partie m. Wehr. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1898"," "," 133; 361; 528; 517 ","  "," 2 "," polos_1044_v.jpg "," polos_1044_r.jpg " 
"o:polos.1045"," Aloizia Spirk, Negova "," Negova pri Radgoni. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1905","1918"," 361; 240; 346; 133 ","  "," 2 "," polos_1045_v.jpg "," polos_1045_r.jpg " 
"o:polos.1046","  "," Gruss aus Oplotnitz. Partovec Teich. Kaštraun Mühle. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1905"," "," 133; 361; 240; 517; 528 ","  "," 2 "," polos_1046_v.jpg "," polos_1046_r.jpg " 
"o:polos.1047"," Albin Sussitz, Graz; Karl Sima, Poljčane "," Hölldorf, Station Pölltschach. Strassenpartie. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 361; 363; 365 ","  "," 2 "," polos_1047_v.jpg "," polos_1047_r.jpg " 
"o:polos.1048"," Albin Sussitz, Graz; Karl Sima, Poljčane "," Hölldorf, Station Pölltschach. Strassenpartie. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 361; 363; 365 ","  "," 2 "," polos_1048_v.jpg "," polos_1048_r.jpg " 
"o:polos.1049"," Karl Schwidernoch, Wien "," GRUSS aus PÖSSNITZ b. MARBURG. BAHNHOF. Flucher's Gasthof u Meierei. K.k. Postamt. Villa Felberhof. Ambrosy Besitzung.  "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1898"," "," 344; 472; 551; 265; 498 ","  "," 2 "," polos_1049_v.jpg "," polos_1049_r.jpg " 
"o:polos.105"," Alois Preaz, Rogatec "," Rohitsch. Schloss. Platz. Totale. Ruine Oberrohitsch. Totale. Bahnhof. Glasfabrik Stražža. Totale. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1914","1916"," 341; 361; 498; 348 ","  "," 2 "," polos_0105_v.jpg "," polos_0105_r.jpg " 
"o:polos.1050"," Michael Sernc, Ruše "," Filialkirche in Smolnik. Gruss aus Maria Rast. Wasserfall Šumik. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1905"," "," 133; 346 ","  "," 2 "," polos_1050_v.jpg "," polos_1050_r.jpg " 
"o:polos.1051","  "," POHORJE: Mali Šumik. BACHERGEBIRGE: Kleiner Šumik. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1912"," "," 133 ","  "," 2 "," polos_1051_v.jpg "," polos_1051_r.jpg " 
"o:polos.1052","  "," Mali Šumik.  "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1910"," "," 133 ","  "," 2 "," polos_1052_v.jpg "," polos_1052_r.jpg " 
"o:polos.1053"," Michael Sernc, Ruše "," Kleiner Lobnitzer Wassefall bei Mariarast. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1914","1916"," 133 ","  "," 2 "," polos_1053_v.jpg "," polos_1053_r.jpg " 
"o:polos.1054"," Franz Knollmüller, Graz "," Pohorje: Ruška Koča 1250m. Bachergebirge: Rasterhütte. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1919","1920"," 341; 517; 528; 265 ","  "," 2 "," polos_1054_v.jpg "," polos_1054_r.jpg " 
"o:polos.1055","  "," Pohorje: Vila Planinka pri Ruški koči 1250m. Bachergebirge: Villa Planinka bei der Raster-Hütte. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1918"," "," 341; 517; 528; 265 ","  "," 2 "," polos_1055_v.jpg "," polos_1055_r.jpg " 
"o:polos.1056"," Savinjska podružnica Slovenskega planinskega društva "," Pohorje: Ruška Koča 1250m. Bachergebirge: Rasterhütte. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1916"," "," 133; 137 ","  "," 2 "," polos_1056_v.jpg "," polos_1056_r.jpg " 
"o:polos.1057"," Franz Knollmüller, Graz "," Marburg Hütte am Bacher 1080m. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 341; 517; 528; 265 ","  "," 2 "," polos_1057_v.jpg "," polos_1057_r.jpg " 
"o:polos.1058"," Franz Knollmüller, Graz "," Marburgerhütte auf dem Bacher 1080m. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1918"," "," 341; 517; 528; 265 ","  "," 2 "," polos_1058_v.jpg "," polos_1058_r.jpg " 
"o:polos.1059"," Karl Sima, Poljčane "," Pöltschach und Hölldorf. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1907"," "," 361; 240; 133 ","  "," 2 "," polos_1059_v.jpg "," polos_1059_r.jpg " 
"o:polos.106"," Alois Preaz, Rogatec "," ROHITSCH. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1909"," "," 361; 347; 551 ","  "," 2 "," polos_0106_v.jpg "," polos_0106_r.jpg " 
"o:polos.1060"," M. Šumer, Poljčane "," Pöltschach. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1916"," "," 361 ","  "," 2 "," polos_1060_v.jpg "," polos_1060_r.jpg " 
"o:polos.1061"," Albin Sussitz, Graz "," Pöltschach. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1918"," "," 100; 133; 361 ","  "," 2 "," polos_1061_v.jpg "," polos_1061_r.jpg " 
"o:polos.1062"," Franc Kavcić "," Gruss aus Studenitz. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1904"," "," 100; 361; 133 ","  "," 2 "," polos_1062_v.jpg "," polos_1062_r.jpg " 
"o:polos.1063"," Richard Ziesel "," Gruß aus Pulsgau. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1903"," "," 346; 363 ","  "," 2 "," polos_1063_v.jpg "," polos_1063_r.jpg " 
"o:polos.1064"," Viljem Pick, Celje "," Polzela. Trgovina J. Cisel. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1916"," "," 760; 361; 472; 551 ","  "," 2 "," polos_1064_v.jpg "," polos_1064_r.jpg " 
"o:polos.1065"," Marie Novak, Pragersko "," Pragerhof. Tonwarenfabrik v. Franz Steinklauber. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1908"," "," 472; 551; 179 ","  "," 2 "," polos_1065_v.jpg "," polos_1065_r.jpg " 
"o:polos.1066"," Weiss & Dreykurs, Wien "," GRUSS aus Pragerhof. Bahnhof. Schloss. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1899"," "," 341; 175; 498 ","  "," 2 "," polos_1066_v.jpg "," polos_1066_r.jpg " 
"o:polos.1067"," Marie Novak, Pragersko "," Pragerhof. Tonwarenfabrik von Franz Steinklauber. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 179; 472; 551 ","  "," 2 "," polos_1067_v.jpg "," polos_1067_r.jpg " 
"o:polos.1068","  "," Pragerhof-Bahnhof. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1897"," "," 498; 496; 5311 ","  "," 2 "," polos_1068_v.jpg "," polos_1068_r.jpg " 
"o:polos.1069","  "," Pozdrav iz Prihove. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1900"," "," 361; 346 ","  "," 2 "," polos_1069_v.jpg "," polos_1069_r.jpg " 
"o:polos.107"," Anitta, Wien "," Gruß aus St. Georgen bei Rohitsch. Pozdrav iz St. Jurja pri Rogatcu. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1910"," "," 369; 493 ","  "," 2 "," polos_0107_v.jpg "," polos_0107_r.jpg " 
"o:polos.1070"," F. Krainer, Graz "," Pristowa. St. Hema. Schule. Suppanz, Gasthaus. A. Suppanz, Gemischtwaarenhandlung und k.k. Postamt. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1904"," "," 341; 346; 872; 265; 472; 344; 551 ","  "," 2 "," polos_1070_v.jpg "," polos_1070_r.jpg " 
"o:polos.1071"," J. Simončič "," Pozdrav iz Proseniškega. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1910","1916"," 361; 363; 493 ","  "," 2 "," polos_1071_v.jpg "," polos_1071_r.jpg " 
"o:polos.1072"," Wilhelm Blanke, Ptuj "," Volksgarten, Pettau. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1906","1914"," 133; 344; 517; 565 ","  "," 2 "," polos_1072_v.jpg "," polos_1072_r.jpg " 
"o:polos.1073"," J.N. Peteršič, Ptuj "," Ptuj. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1911"," "," 361; 632 ","  "," 2 "," polos_1073_v.jpg "," polos_1073_r.jpg " 
"o:polos.1074"," R. Wratschko, Ptuj "," Pettau a. Drau. Schloß. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1917"," "," 341; 175 ","  "," 2 "," polos_1074_v.jpg "," polos_1074_r.jpg " 
"o:polos.1075"," Wilhelm Blanke, Ptuj "," Pettau. Mädchenheim. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1909"," "," 133; 632; 501; 341 ","  "," 2 "," polos_1075_v.jpg "," polos_1075_r.jpg " 
"o:polos.1076"," Wilhelm Blanke, Ptuj "," Pettau. Hauptplatz. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1907"," "," 100; 632; 341; 344; 472; 551 ","  "," 2 "," polos_1076_v.jpg "," polos_1076_r.jpg " 
"o:polos.1077"," J.N. Peteršič, Ptuj "," Pozdrav iz Ptuja. Narodna šola. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 341; 346; 872 ","  "," 2 "," polos_1077_v.jpg "," polos_1077_r.jpg " 
"o:polos.1078","  "," Maria Neustift bei Pettau. - Černa gora pri Ptuju. Handlung - Trgovina. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1910"," "," 346; 472; 551; 369; 788 ","  "," 2 "," polos_1078_v.jpg "," polos_1078_r.jpg " 
"o:polos.1079"," Wilhelm Blanke, Ptuj "," MARIA-NEUSTIFT B. PETTAU. ČRNA GORA PRI PTUJU. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 346; 788 ","  "," 2 "," polos_1079_v.jpg "," polos_1079_r.jpg " 
"o:polos.108","  "," Pozdrav iz Žetal pri Rogateu. Maria tolažníca. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1906","1909"," 361 ","  "," 2 "," polos_0108_v.jpg "," polos_0108_r.jpg " 
"o:polos.1080"," Wilhelm Blanke, Ptuj "," Maria-Neustift bei Pettau. Hochaltar. Kapelle. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1902"," "," 346; 788; 353; 778 ","  "," 2 "," polos_1080_v.jpg "," polos_1080_r.jpg " 
"o:polos.1081","  "," Černa Gora pri Ptuju. Maria-Neustift bei Pettau. Podoba Matere Božje. - Marienbild am Grossaltar. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1914","1916"," 778 ","  "," 2 "," polos_1081_v.jpg "," polos_1081_r.jpg " 
"o:polos.1082"," Wilhelm Blanke, Ptuj "," Pozdrav iz Ptujske gore. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1899"," "," 346; 788; 778 ","  "," 2 "," polos_1082_v.jpg "," polos_1082_r.jpg " 
"o:polos.1083"," F. Novak, Lovrenc na Pohorju "," Gruss aus Maria i. d. Wüste. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 346 ","  "," 2 "," polos_1083_v.jpg "," polos_1083_r.jpg " 
"o:polos.1084"," Heinrich Krapek, Maribor "," Maria in der Wüste, bei Marburg a. d. Drau. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1899"," ","  ","  "," 2 "," polos_1084_v.jpg "," polos_1084_r.jpg " 
